game_id,move_id,vision,vision_simple,vision_advanced,vision_expert,snake_length,head_direction,head_pos,apple_pos,move,apple_pos_new,facing_apple,closed_region,hit,life,prob_to_live
7168,2,0030,1101,11010110,110101100010,3,0,"(4, 4)","(9, 5)",1,"(9, 5)",1,0,0,1,
7168,3,0003,1110,11100110,111001100001,3,1,"(5, 4)","(9, 5)",2,"(9, 5)",1,0,0,1,
7168,4,3000,0111,01110100,011101001000,3,2,"(5, 5)","(9, 5)",3,"(9, 5)",0,0,0,1,
7168,5,0300,1011,10110100,101101000100,3,3,"(4, 5)","(9, 5)",2,"(9, 5)",0,0,0,1,
7168,6,3000,0111,01111100,011111001000,3,2,"(4, 6)","(9, 5)",2,"(9, 5)",0,0,0,1,
7168,7,3000,0111,01111100,011111001000,3,2,"(4, 7)","(9, 5)",2,"(9, 5)",0,0,0,1,
7168,8,3000,0111,01111100,011111001000,3,2,"(4, 8)","(9, 5)",0,"(9, 5)",1,0,3,0,
7169,0,0030,1101,11011100,110111000010,3,0,"(5, 5)","(8, 0)",2,"(8, 0)",0,0,3,0,
7170,0,0030,1101,11010011,110100110010,3,0,"(5, 5)","(1, 9)",0,"(1, 9)",0,0,0,1,
7170,1,0030,1101,11010011,110100110010,3,0,"(5, 4)","(1, 9)",0,"(1, 9)",0,0,0,1,
7170,2,0030,1101,11010011,110100110010,3,0,"(5, 3)","(1, 9)",2,"(1, 9)",1,0,3,0,
7171,0,0030,1101,11011001,110110010010,3,0,"(5, 5)","(1, 3)",1,"(1, 3)",0,0,0,1,
7171,1,0003,1110,11101001,111010010001,3,1,"(6, 5)","(1, 3)",2,"(1, 3)",0,0,0,1,
7171,2,3000,0111,01111001,011110011000,3,2,"(6, 6)","(1, 3)",3,"(1, 3)",1,0,0,1,
7171,3,0300,1011,10111001,101110010100,3,3,"(5, 6)","(1, 3)",0,"(1, 3)",1,0,0,1,
7171,4,0030,1101,11011001,110110010010,3,0,"(5, 5)","(1, 3)",3,"(1, 3)",1,0,0,1,
7171,5,0300,1011,10111001,101110010100,3,3,"(4, 5)","(1, 3)",1,"(1, 3)",0,0,3,0,
7172,0,0030,1101,11011000,110110000010,3,0,"(5, 5)","(5, 1)",3,"(5, 1)",0,0,0,1,
7172,1,0300,1011,10111100,101111000100,3,3,"(4, 5)","(5, 1)",3,"(5, 1)",0,0,0,1,
7172,2,0300,1011,10111100,101111000100,3,3,"(3, 5)","(5, 1)",1,"(5, 1)",1,0,3,0,
7173,0,0030,1101,11011100,110111000010,3,0,"(5, 5)","(6, 4)",0,"(6, 4)",1,0,0,1,
7173,1,0130,1101,11010100,110101000010,3,0,"(5, 4)","(6, 4)",0,"(6, 4)",0,0,0,1,
7173,2,0030,1101,11010110,110101100010,3,0,"(5, 3)","(6, 4)",3,"(6, 4)",0,0,0,1,
7173,3,0300,1011,10110110,101101100100,3,3,"(4, 3)","(6, 4)",1,"(6, 4)",1,0,3,0,
7174,0,0030,1101,11010110,110101100010,3,0,"(5, 5)","(9, 6)",2,"(9, 6)",1,0,3,0,
7175,0,0030,1101,11011001,110110010010,3,0,"(5, 5)","(0, 1)",0,"(0, 1)",1,0,0,1,
7175,1,0030,1101,11011001,110110010010,3,0,"(5, 4)","(0, 1)",3,"(0, 1)",1,0,0,1,
7175,2,0300,1011,10111001,101110010100,3,3,"(4, 4)","(0, 1)",3,"(0, 1)",1,0,0,1,
7175,3,0300,1011,10111001,101110010100,3,3,"(3, 4)","(0, 1)",0,"(0, 1)",1,0,0,1,
7175,4,0030,1101,11011001,110110010010,3,0,"(3, 3)","(0, 1)",2,"(0, 1)",0,0,3,0,
7176,0,0030,1101,11010011,110100110010,3,0,"(5, 5)","(4, 7)",0,"(4, 7)",0,0,0,1,
7176,1,0030,1101,11010011,110100110010,3,0,"(5, 4)","(4, 7)",2,"(4, 7)",1,0,3,0,
7177,0,0030,1101,11011001,110110010010,3,0,"(5, 5)","(3, 2)",3,"(3, 2)",1,0,0,1,
7177,1,0300,1011,10111001,101110010100,3,3,"(4, 5)","(3, 2)",1,"(3, 2)",0,0,3,0,
7178,0,0030,1101,11011000,110110000010,3,0,"(5, 5)","(5, 3)",1,"(5, 3)",0,0,0,1,
7178,1,0003,1110,11101001,111010010001,3,1,"(6, 5)","(5, 3)",2,"(5, 3)",0,0,0,1,
7178,2,3000,0111,01111001,011110011000,3,2,"(6, 6)","(5, 3)",0,"(5, 3)",1,0,3,0,
7179,0,0030,1101,11010001,110100010010,3,0,"(5, 5)","(2, 5)",2,"(2, 5)",0,0,3,0,
7180,0,0030,1101,11011100,110111000010,3,0,"(5, 5)","(8, 4)",0,"(8, 4)",1,0,0,1,
7180,1,0030,1101,11010100,110101000010,3,0,"(5, 4)","(8, 4)",2,"(8, 4)",0,0,3,0,
7181,0,0030,1101,11011100,110111000010,3,0,"(5, 5)","(7, 3)",1,"(7, 3)",1,0,0,1,
7181,1,0003,1110,11101100,111011000001,3,1,"(6, 5)","(7, 3)",0,"(7, 3)",1,0,0,1,
7181,2,0030,1101,11011100,110111000010,3,0,"(6, 4)","(7, 3)",1,"(7, 3)",1,0,0,1,
7181,3,1003,1110,11101000,111010000001,3,1,"(7, 4)","(7, 3)",3,"(7, 3)",0,0,3,0,
7182,0,0030,1101,11010011,110100110010,3,0,"(5, 5)","(4, 9)",0,"(4, 9)",0,0,0,1,
7182,1,0030,1101,11010011,110100110010,3,0,"(5, 4)","(4, 9)",1,"(4, 9)",0,0,0,1,
7182,2,0003,1110,11100011,111000110001,3,1,"(6, 4)","(4, 9)",2,"(4, 9)",1,0,0,1,
7182,3,3000,0111,01110011,011100111000,3,2,"(6, 5)","(4, 9)",0,"(4, 9)",0,0,3,0,
7183,0,0030,1101,11011001,110110010010,3,0,"(5, 5)","(2, 1)",3,"(2, 1)",1,0,0,1,
7183,1,0300,1011,10111001,101110010100,3,3,"(4, 5)","(2, 1)",0,"(2, 1)",1,0,0,1,
7183,2,0030,1101,11011001,110110010010,3,0,"(4, 4)","(2, 1)",3,"(2, 1)",1,0,0,1,
7183,3,0300,1011,10111001,101110010100,3,3,"(3, 4)","(2, 1)",0,"(2, 1)",1,0,0,1,
7183,4,0030,1101,11011001,110110010010,3,0,"(3, 3)","(2, 1)",2,"(2, 1)",0,0,3,0,
7184,0,0030,1101,11011100,110111000010,3,0,"(5, 5)","(6, 2)",3,"(6, 2)",0,0,0,1,
7184,1,0300,1011,10111100,101111000100,3,3,"(4, 5)","(6, 2)",1,"(6, 2)",1,0,3,0,
7185,0,0030,1101,11010011,110100110010,3,0,"(5, 5)","(4, 6)",3,"(4, 6)",1,0,0,1,
7185,1,0310,1011,10110010,101100100100,3,3,"(4, 5)","(4, 6)",1,"(4, 6)",0,0,3,0,
7186,0,0030,1101,11011001,110110010010,3,0,"(5, 5)","(2, 1)",3,"(2, 1)",1,0,0,1,
7186,1,0300,1011,10111001,101110010100,3,3,"(4, 5)","(2, 1)",1,"(2, 1)",0,0,3,0,
7187,0,0030,1101,11010011,110100110010,3,0,"(5, 5)","(3, 8)",2,"(3, 8)",1,0,3,0,
7188,0,0030,1101,11010110,110101100010,3,0,"(5, 5)","(7, 6)",3,"(7, 6)",0,0,0,1,
7188,1,0300,1011,10110110,101101100100,3,3,"(4, 5)","(7, 6)",1,"(7, 6)",1,0,3,0,
7189,0,0030,1101,11011001,110110010010,3,0,"(5, 5)","(4, 1)",2,"(4, 1)",0,0,3,0,
7190,0,0030,1101,11011100,110111000010,3,0,"(5, 5)","(8, 3)",0,"(8, 3)",1,0,0,1,
7190,1,0030,1101,11011100,110111000010,3,0,"(5, 4)","(8, 3)",0,"(8, 3)",1,0,0,1,
7190,2,0030,1101,11010100,110101000010,3,0,"(5, 3)","(8, 3)",1,"(8, 3)",1,0,0,1,
7190,3,0003,1110,11100100,111001000001,3,1,"(6, 3)","(8, 3)",3,"(8, 3)",0,0,3,0,
7191,0,1030,1101,11011000,110110000010,3,0,"(5, 5)","(5, 4)",1,"(5, 4)",0,0,0,1,
7191,1,0003,1110,11101001,111010010001,3,1,"(6, 5)","(5, 4)",1,"(5, 4)",0,0,0,1,
7191,2,0003,1110,11101001,111010010001,3,1,"(7, 5)","(5, 4)",3,"(5, 4)",1,0,3,0,
7192,0,0030,1101,11010001,110100010010,3,0,"(5, 5)","(3, 5)",2,"(3, 5)",0,0,3,0,
7193,0,0030,1101,11010011,110100110010,3,0,"(5, 5)","(0, 6)",1,"(0, 6)",0,0,0,1,
7193,1,0003,1110,11100011,111000110001,3,1,"(6, 5)","(0, 6)",2,"(0, 6)",1,0,0,1,
7193,2,3000,0111,01110001,011100011000,3,2,"(6, 6)","(0, 6)",1,"(0, 6)",0,0,0,1,
7193,3,0003,1110,11100001,111000010001,3,1,"(7, 6)","(0, 6)",1,"(0, 6)",0,0,0,1,
7193,4,0003,1110,11100001,111000010001,3,1,"(8, 6)","(0, 6)",2,"(0, 6)",0,0,0,1,
7193,5,3000,0111,01111001,011110011000,3,2,"(8, 7)","(0, 6)",0,"(0, 6)",1,0,3,0,
7194,0,0030,1101,11011001,110110010010,3,0,"(5, 5)","(4, 4)",3,"(4, 4)",1,0,0,1,
7194,1,1300,1011,10111000,101110000100,3,3,"(4, 5)","(4, 4)",0,"(6, 7)",1,0,1,1,
7194,2,0030,1101,11010110,110101100010,4,0,"(4, 4)","(6, 7)",0,"(6, 7)",0,0,0,1,
7194,3,0030,1101,11010110,110101100010,4,0,"(4, 3)","(6, 7)",0,"(6, 7)",0,0,0,1,
7194,4,0030,1101,11010110,110101100010,4,0,"(4, 2)","(6, 7)",2,"(6, 7)",1,0,3,0,
7195,0,1030,1101,11011000,110110000010,3,0,"(5, 5)","(5, 4)",0,"(8, 0)",1,0,1,1,
7195,1,0030,1101,11011100,110111000010,4,0,"(5, 4)","(8, 0)",0,"(8, 0)",1,0,0,1,
7195,2,0030,1101,11011100,110111000010,4,0,"(5, 3)","(8, 0)",3,"(8, 0)",0,0,0,1,
7195,3,0300,1011,10111100,101111000100,4,3,"(4, 3)","(8, 0)",0,"(8, 0)",1,0,0,1,
7195,4,0030,1101,11011100,110111000010,4,0,"(4, 2)","(8, 0)",1,"(8, 0)",1,0,0,1,
7195,5,0003,1110,11101100,111011000001,4,1,"(5, 2)","(8, 0)",2,"(8, 0)",0,0,0,1,
7195,6,3000,0111,01111100,011111001000,4,2,"(5, 3)","(8, 0)",2,"(8, 0)",0,0,0,1,
7195,7,3000,0111,01111100,011111001000,4,2,"(5, 4)","(8, 0)",3,"(8, 0)",0,0,0,1,
